1162399,1160246,840
1162399,2144643,840
2144643,1160246,1080
101676,1162481,540
113516,113839,660
113888,1162452,120
101676,113876,600
101676,1162452,480
101676,113211,300
101676,113952,180
113876,113839,600
1161982,112990,840
113211,1162073,840
113405,1161007,300
1162399,2144643,600
101719,1162073,660
2143738,1160848,600
113876,1163631,720
1162481,1162073,900
1155270,1162465,840
1162452,1150345,660
113876,1162465,240
113952,1162481,1020
2143738,1162399,720
112298,112418,720
101676,113888,960
1162465,1162481,420
1162399,2143738,540
1162452,1162336,420
101676,101719,360
1162481,114989,120
1160246,1162399,900
113952,1150345,840
2144285,1162336,300
1160848,1162399,1080
113839,114989,660
1162481,113211,540
104154,2144643,840
113873,113839,300
1162481,112429,1500
1162452,1162056,660
113876,1162465,240
113873,1161007,1080
1162484,113608,480
1162452,1162336,420
2144643,1160246,540
1161017,1162452,780
1162452,113873,360
2144732,101676,720
1162157,1162336,300
101676,1162452,360
1162452,113873,300
1162399,113007,660
1162481,113608,300
113633,1150345,1440
1161739,101719,780
2139528,2139528,960
1162465,101676,780
1160246,113007,360
101676,1162452,540
113873,113211,660
2142936,104154,840
1162336,1162143,420
113007,1162399,540
112429,113876,720
1155270,1162465,840
111247,1162399,780
114989,101676,420
111247,111247,60
1160246,109278,1440
1162452,101676,420
101719,1162465,600
113007,112107,600
1157942,1162399,840
2143738,1159706,1140
1162399,1155366,1080
113873,1161452,840
113876,101719,420
101719,1150345,480
113876,101719,600
113873,101676,480
1157942,1160848,300
1160246,113007,360
101719,101676,300
2143738,1157942,600
101676,113873,600
113873,2144732,480
101719,1162452,120
101676,1162481,660
2144285,101676,300
112990,1162452,660
101719,2144299,780
1150362,1162399,1260
2144230,113873,480
2143738,1162399,720
1157942,1160848,600
113211,113873,360
1159706,2143738,960
113633,1162056,720
101676,2144285,240
1162465,113839,240
2139528,104154,3300
1162481,113211,660
2143738,1157942,540
1150345,113363,660
101719,1162452,480
1162336,101719,480
113873,114989,480
2144643,2143738,1440
1162481,101676,660
101676,101719,420
113633,114989,480
101676,113211,360
101676,1162481,540
1162465,113211,1020
2144230,1162481,660
1162399,113007,540
101719,113873,360
101676,113876,300
1160246,1160246,120
113839,1150345,1020
1162399,1150362,540
113873,101676,540
1162399,113007,1500
114989,113952,840
113873,113952,360
113140,113952,540
112021,2144285,1260
113952,1162336,360
113952,101676,360
1162452,1162336,720
113873,1162481,360
101676,101676,300
109278,1157942,420
113876,101719,420
2143738,2143738,240
101676,113873,180
104154,1160848,2220
101719,101676,300
101719,101676,120
1162452,1162336,720
101676,113952,240
1150345,1161452,1620
113363,113363,180
101676,113873,420
112990,1162452,660
2144285,1150345,840
112490,2144032,780
1163368,106854,180
2144285,1150345,840
1162399,2143738,1680
1163368,1160246,1800
114989,113140,720
1161452,113873,960
114989,114989,240
1150345,113873,660
1162465,1162336,360
113873,2144285,720
1162452,113873,300
2144643,2143738,1500
2143738,2143738,660
1162399,112107,1380
1162465,113873,480
113839,113211,780
1160565,1161507,720
1161343,2143939,660
1162481,1162452,240
112429,1162157,660
101719,2144299,960
1162336,1161636,540
113007,2143738,2100
1162452,101719,360
2144122,101719,660
101676,114989,540
101676,101719,420
1161487,1162484,960
1162399,1160246,1440
1161507,1162104,1260
2144643,1162399,840
1161452,113876,540
101676,1162452,480
1162073,113608,360
2144230,112453,780
101676,1162452,420
113156,101676,540
1162452,1161452,780
101719,2144285,480
2143738,1150362,1200
2143738,2143738,660
1162465,1162452,120
2143738,1159706,1140
2143738,1157942,1020
112298,1162027,900
2143738,111021,660
113952,1162452,600
2144285,113211,360
113888,113873,420
114989,114989,240
1162336,1150345,960
101719,1162484,540
1162481,113876,540
101719,1162484,120
1162399,2143738,720
114989,1162465,300
113876,101719,360
1162465,101802,960
2144285,101676,240
2144285,114989,420
113873,113633,300
113876,113888,480
113952,113698,480
2144299,1162452,300
1157942,1162399,1440
113211,2144299,840
1162484,113839,240
2143738,2143738,480
1160246,113007,480
1162452,1150345,720
101719,101676,360
2143738,111021,660
101719,113888,480
115030,1157715,720
113839,101719,420
2143939,1162484,960
101719,113876,420
1162481,101676,540
1162452,1162056,660
2144643,2143738,1500
1162484,1162336,600
1162056,113363,1260
1162481,1162452,240
113211,113876,540
101676,113873,300
1162399,2143738,600
113516,112429,540
113645,101719,480
2143738,112107,360
1162399,112107,960
113876,113952,420
101802,114989,900
1162452,1162452,120
113633,2144285,540
101719,1163631,1440
101719,101676,240
2143738,1157942,960
101676,101676,300
2144230,1162452,600
101676,1162336,420
113873,1162452,180
1162465,113952,1200
104154,1160476,2040
101676,1162452,480
113007,113007,300
101719,1162481,420
2144643,113007,180
1162465,1162452,600
2144285,113443,1020
101676,101719,180
1160951,113477,360
1162465,101676,780
101802,113952,720
1162465,101676,960
101676,1162481,540
1150345,1162452,660
1160848,1162399,960
113211,113876,540
101676,113876,540
1162452,113873,300
2143738,2143738,540
1160246,113007,300
1162484,2143732,1020
113839,2144285,840
1162027,2144122,480
2144230,113873,480
101676,114989,300
104154,1157942,1740
112429,113876,720
113007,104154,2400
1162484,1150345,780
101719,113952,360
114989,2144299,420
114989,1162481,240
1162484,113888,180
1161452,112212,1320
101719,113876,420
113443,2144285,1380
1162452,101676,480
113888,101719,360
1162465,101719,660
114989,1150345,600
113873,112453,960
2144285,1150345,840
101676,1162484,720
113952,112453,1560
2144643,1160246,540
113876,1150345,660
1162465,1162484,1260
113876,1162484,540
113876,113876,180
1162073,114989,600
1162336,1161636,540
1162399,1159706,900
113876,113876,180
113873,113873,120
113156,113156,60
1160565,1161507,720
2143732,113608,600
1162336,1150345,960
113007,1150362,1200
1162399,1160848,540
113876,113839,480
101676,2143712,1380
113211,1162481,480
1162399,1160246,1440
1162399,2144643,600
101676,113873,540
1157942,1160848,480
2144643,1162399,1080
1155270,1161244,780
113608,1163631,480
111247,2143738,660
113873,112463,1080
2144285,1162481,480
1161132,1162104,720
114989,1161992,660
113952,101676,300
101676,1162452,540
113633,113873,420
113608,101719,960
1162399,2143738,1620
114989,1162452,300
1162465,113633,420
101676,114989,540
113873,101719,540
101719,1162484,480
1160951,1160821,660
113873,101676,180
1157942,1157715,720
1160246,109278,1380
2143738,2143738,360
2144285,112463,1140
101676,101676,300
101719,1162336,720
113873,101676,360
101676,2144285,180
114989,1162465,180
1162051,112298,420
1162336,101719,660
1161017,113873,1020
101676,1162481,480
2144299,1162452,300
101719,2144285,300
2144285,1162465,480
101802,1162452,1080
2143738,1160848,240
2144285,1162465,480
2143738,2143738,660
113516,112421,720
1162336,101676,540
101676,114989,540
101719,101676,480
101676,2144285,240
1162481,113873,300
1162481,101802,780
101676,101719,360
112107,2143738,720
114989,113876,240
101676,114989,420
113007,2143738,840
101676,2144285,240
113888,1161487,780
101676,113873,420
101676,113211,420
1162073,1162484,780
1161507,1162073,480
113511,1159391,1560
102334,113952,1320
110700,1161840,780
104154,1162399,2040
113876,114901,600
1162073,101676,480
1161613,2144285,780
113873,1162481,660
101846,101846,2160
2143738,1162399,660
1150345,1150345,660
101676,101676,300
1162452,1162452,180
114989,101676,480
101676,101676,1380
113952,2144732,420
101676,114989,240
1162336,1150345,960
1162484,113633,600
1162484,1162073,540
101676,114989,780
1162452,101719,240
101676,101676,120
1162336,101719,480
101676,2144299,240
114989,1162465,180
101676,101802,660
112107,2143738,540
1157942,1162399,1440
113873,1162484,600
113952,113873,600
113876,1162465,180
109278,109278,240
111247,1160848,1140
113873,101676,300
1160246,1162399,720
1157942,1157942,240
1162465,1150345,600
1160246,2142936,540
1160246,2144643,1560
113952,101719,780
2143738,112107,300
1162452,1161431,960
101719,1155270,360
101676,113888,540
101676,113873,420
114989,113876,720
112864,1161613,420
1162399,1157942,660
2144299,101676,840
113873,101719,540
101676,113952,420
101719,113873,300
1157942,1162399,960
101802,101676,720
114989,1162452,240
101719,113698,600
1162073,1162484,480
101676,113211,300
2143738,2143738,480
113608,101676,480
1162484,1162484,60
2143738,1160246,1320
1162336,101676,540
1162452,1162484,180
2142936,104154,840
1154788,1154788,1800
101676,1150345,840
1162484,113839,240
113952,113876,900
113873,1150345,480
1150345,1150345,120
113007,1160246,240
1150345,101676,660
2144230,114989,240
113876,1163631,720
2143738,113007,600
2144285,1163298,540
113873,1162465,240
114989,113876,240
111247,1160246,480
113007,1162399,780
113952,101676,360
101676,101719,540
113876,1162465,240
1162465,101676,420
2143738,115030,1020
114989,101676,600
1162465,113211,1020
101719,1162452,300
101676,112269,1620
2143738,1162399,720
2143738,1160476,780
1162481,1162452,360
2143738,1157942,600
101676,2144285,180
113873,1161007,1080
1162399,113007,660
1150842,1150675,540
113952,113211,420
101676,113873,240
1162465,113873,420
2144643,1159706,720
2143738,2143738,240
1162481,113876,540
2144643,1162399,840
2144285,113443,1020
101676,2144285,300
1162336,101676,300
1162399,2144643,1020
2144732,101676,720
1150345,1162481,660
113876,113888,360
1162452,101719,300
113363,101719,720
1162465,113952,1200
113405,113405,120
111247,1160246,480
113876,114989,300
113405,113405,120
1162399,1150585,840
101676,1162484,480
112453,101719,840
113007,1160848,1020
113633,1163631,480
113873,114989,360
2142936,1162399,600
113873,101676,360
1162484,101719,480
1162399,1163368,1140
113876,113888,360
101676,101676,120
2144285,101719,360
1162452,101676,540
1162399,2143738,600
1162399,1162399,180
113633,114989,720
101676,1162336,660
2144643,105144,1620
1160848,1160848,240
113363,101676,540
101719,1162484,420
101719,1155270,360
1162399,101846,1140
113873,1162465,360
113876,101676,360
113839,1162452,300
1162399,113007,780
113873,113839,240
1161739,2144285,360
101676,113839,720
101676,2144285,300
113211,1162481,480
2143738,1162399,720
114989,101676,420
1162399,112107,1260
1162484,114989,180
112107,2143738,720
2144285,2144159,720
